platform,developer,releasedate,metascore
PC,Valkyrie Studios,31-Oct-99,72
PS,DMA Design,25-Oct-99,70
PS,Treasure,31-Dec-99,69
PS,Metro,31-Mar-99,66
DC,Sega,31-Dec-99,60
N64,Traveller's Tales,30-Nov-99,58
PS,Human Entertainment,31-Oct-99,49
DC,Acclaim,29-Sep-99,43
PS,Neversoft Entertainment,20-Sep-00,98
DC,Treyarch,6-Nov-00,97
N64,Rare Ltd.,22-May-00,97
DC,Visual Concepts,7-Sep-00,97
PC,BioWare,24-Sep-00,95
N64,Nintendo,25-Oct-00,95
PS,SquareSoft,13-Nov-00,94
PS,KCET,6-Jun-00,94
PS,SquareSoft,15-Aug-00,94
DC,Smilebit,30-Oct-00,94
PS2,EA Sports Big,30-Oct-00,93
DC,Raster,22-Oct-00,93
DC,Overworks,13-Nov-00,93
DC,Melbourne House,13-Nov-00,93
DC,Visual Concepts,1-Nov-00,93
PC,Maxis,4-Feb-00,92
PS,SquareSoft,15-May-00,92
PS2,EA Sports,23-Oct-00,91
N64,Camelot Software Planning,28-Aug-00,91
PS,Insomniac Games,23-Oct-00,91
PS2,Team Ninja,25-Oct-00,91
PC,Funcom,16-Nov-00,91
PC,Neversoft Entertainment,25-Oct-00,91
PC,Monolith Productions,11-Nov-00,91
DC,Capcom,29-Jun-00,90
PC,EA Sports,28-Sep-00,90
PC,Ion Storm,23-Jun-00,90
PS,Yuke's,21-Nov-00,90
DC,Game Arts,6-Dec-00,90
N64,Rare Ltd.,19-Nov-00,90
PS,Codemasters,5-Dec-00,90
PS,EA Sports,22-Aug-00,90
PC,Shiny Entertainment,5-Nov-00,89
DC,Sonic Team,16-Oct-00,89
PC,Barking Dog,7-Sep-00,89
PC,Outrage Games,14-Jun-00,89
N64,Aki Corp.,17-Nov-00,89
N64,EA Tiburon,28-Aug-00,89
PS,Page 44 Studios,26-Sep-00,88
N64,Left Field Productions,30-Apr-00,88
PC,Milestone S.r.l,9-Oct-00,88
DC,Anchor,29-Aug-00,88
PC,Ensemble Studios,24-Aug-00,88
PC,The Counter-Strike Team,8-Nov-00,88
PC,Blizzard North,29-Jun-00,88
DC,Capcom,23-Aug-00,87
PC,FASA Studio,23-Nov-00,87
PC,Looking Glass Studios,23-Mar-00,87
PC,Black Isle Studios,29-Jun-00,87
PC,"Hasbro Interactive, Atari",24-Aug-00,87
PC,Impressions Games,22-Oct-00,87
PS,Neversoft Entertainment,30-Aug-00,87
PS,EA Sports,16-Oct-00,86
PC,Razorworks,31-Jul-00,86
PC,Massive Entertainment,31-May-00,86
PC,eSim Games,24-Sep-00,86
N64,Midway,7-Sep-00,86
DC,Eden Studios,2-Jul-00,86
PS,Game Arts,15-Dec-00,86
PS,Dreamworks Interactive,23-Oct-00,86
PS,Capcom,29-Sep-00,86
PC,Raven Software,20-Sep-00,86
PC,Microsoft Game Studios,24-Oct-00,86
PC,Sony Online Entertainment,24-Mar-00,86
PC,LucasArts,8-Nov-00,86
PC,Microsoft Game Studios,31-Mar-00,86
PS,Attention To Detail,10-Oct-00,85
PS2,Namco,25-Oct-00,85
PC,Planet Moon Studios,6-Dec-00,85
PS,EA Sports,14-Nov-00,85
PS2,EA Sports,25-Oct-00,85
DC,Sega,19-Sep-00,85
PC,EA Sports,30-Oct-00,85
PC,Rogue Entertainment,6-Dec-00,85
DC,Capcom,19-Jun-00,84
PS,EA Sports,30-Oct-00,84
PC,Westwood Studios,21-Oct-00,84
PC,Creative Assembly,13-Jun-00,84
DC,TOSE,29-Aug-00,84
DC,Midway,6-Sep-00,84
DC,Capcom,4-Oct-00,84
N64,Factor 5,18-Dec-00,84
DC,Appaloosa Interactive,10-Sep-00,84
PC,BioWare,31-May-00,83
PC,Microsoft Game Studios,13-Oct-00,83
PS,Atlus Co.,22-Dec-00,83
PS2,EA Canada,24-Nov-00,83
PC,Zipper Interactive,17-Sep-00,83
DC,Melbourne House,27-Nov-00,83
PS,Capcom,28-Nov-00,83
PC,Digital Dialect,24-Sep-00,83
N64,Nintendo,14-Feb-00,82
PS2,Bullfrog Productions,4-Dec-00,82
PS,"Z-Axis, Ltd.",26-Sep-00,82
PS,Jellyvision,6-Nov-00,82
N64,Quest,7-Oct-00,82
PC,Strategic Studies Group,9-Jul-00,82
PC,Celeris,14-Nov-00,82
PC,Maxis,27-Aug-00,82
PC,Wayward Simulations,13-Dec-00,82
PC,Sony Online Entertainment,4-Dec-00,82
PS,Victor Interactive Software,22-Nov-00,82
DC,Vivarium,9-Aug-00,82
PS2,Free Radical Design,23-Oct-00,81
PC,Sierra Entertainment,6-Oct-00,81
PC,Monster Games Inc.,27-Sep-00,81
N64,Nintendo,1-Sep-00,81
N64,Eurocom Entertainment Software,1-Nov-00,81
PC,Double Helix Games,15-Nov-00,81
DC,Tremor Entertainment,30-Jun-00,81
PS,Tri-Ace,29-Aug-00,81
DC,Capcom,9-Nov-00,80
N64,Mass Media,13-Jun-00,80
PS,Codemasters,3-Oct-00,80
DC,Bizarre Creations,11-Jul-00,80
PS,Taito Corporation,9-Nov-00,80
PS,Polygon Magic,6-Nov-00,80
PC,Chris Sawyer,30-Sep-00,80
DC,Clockwork Games,21-Dec-00,80
PC,Mattel,14-Nov-00,80
DC,Genki,1-Sep-00,79
PS2,Rockstar San Diego,25-Oct-00,79
PC,Creative Asylum,31-Oct-00,79
DC,Taito Corporation,31-May-00,79
PS,SquareSoft,12-Jan-00,79
PC,Malfador Machinations,7-Nov-00,79
DC,Sega,20-Aug-00,79
PC,Atomic Games,10-Oct-00,79
DC,Capcom,17-Nov-00,79
PS,Metro,19-Sep-00,79
PS2,CAProduction,15-Nov-00,79
DC,Digital Anvil,27-Nov-00,79
PS2,Angel Studios,25-Oct-00,78
PS2,T&E Soft,25-Oct-00,78
PS2,Namco,25-Oct-00,78
DC,Avalanche Software,14-Sep-00,78
PC,"Angel Studios, Rockstar San Diego",21-Sep-00,78
PS,Eden Studios,29-Feb-00,78
PC,Ritual Entertainment,6-Aug-00,78
PC,TopWare Interactive,12-Jun-00,78
PC,Digital Anvil,31-Mar-00,78
PS2,From Software,24-Oct-00,78
PC,EA Sports,24-Aug-00,78
PC,Ratbag,19-Oct-00,78
PS,SolWorks,5-Sep-00,78
PC,High Voltage Software,14-Dec-00,77
PS,Acquire,7-Aug-00,77
N64,3DO,14-Jul-00,77
N64,Acclaim Studios Austin,30-Aug-00,77
N64,HAL Labs,26-Jun-00,77
PS2,Namco,31-Oct-00,77
PC,Jellyvision,31-Oct-00,77
PS2,Epic Games,21-Oct-00,77
PC,Taldren,13-Dec-00,77
DC,Capcom,6-Dec-00,77
DC,Pitbull Syndicate,23-Oct-00,77
PC,Maxis,16-May-00,77
PS,Blitz Games,10-Oct-00,77
PC,Pandemic Studios,30-Jun-00,77
PC,BreakAway Games,11-Jul-00,77
PC,Cryo Interactive,9-Nov-00,76
DC,LucasArts,18-Oct-00,76
PS,Warthog,29-Jun-00,76
PS,Capcom,24-Oct-00,76
DC,Ubisoft Montreal,13-Dec-00,76
PC,Human Head Studios,7-Nov-00,76
PC,Synetic,21-Jun-00,76
