platform,developer,releasedate,metascore
PS2,5000ft,31-May-06,63
PSP,SCEJ,17-Oct-06,63
GC,EA Canada,28-Feb-06,63
PSP,Rebellion,18-Jul-06,63
DS,Quicksilver Software,26-Oct-06,63
PS3,Sumo Digital,7-Dec-06,63
XBOX,Artificial Mind and Movement,13-Nov-06,63
PS3,SCEA,14-Nov-06,63
PSP,3G Studios,6-Oct-06,63
X360,Digital Eclipse,30-Aug-06,63
GC,Artificial Mind and Movement,24-May-06,63
DS,Amaze Entertainment,27-Jun-06,63
PC,Gas Powered Games,1-Aug-06,62
PS2,Cavia Inc.,14-Nov-06,62
GBA,Atlus Co.,26-Jul-06,62
GBA,Vivarium,21-Mar-06,62
DS,Artificial Mind and Movement,18-Jul-06,62
GC,Vivarium,10-Apr-06,62
XBOX,Tate Interactive,21-Mar-06,62
DS,ChunSoft,18-Sep-06,62
DS,AI,26-Jun-06,62
PC,Third Wire,24-May-06,62
PS2,Crea-Tech,25-Apr-06,62
PS2,SCE Studio Cambridge,28-Feb-06,62
X360,Konami,28-Mar-06,62
PS2,Omega Force,28-Mar-06,62
PC,Pyro Studios,4-Apr-06,62
X360,Namco Bandai Games,9-Aug-06,62
XBOX,Pyro Studios,4-Apr-06,62
GBA,Capcom,13-Jun-06,62
PSP,Konami,14-Nov-06,62
PS2,Micro Cabin,21-Mar-06,62
XBOX,SNK Playmore,18-Apr-06,62
GBA,Vicarious Visions,10-Oct-06,62
PS2,Blue Tongue Entertainment,1-Aug-06,62
PSP,Q Entertainment,17-Nov-06,62
DS,Altron,19-Sep-06,61
WII,High Voltage Software,16-Nov-06,61
X360,Omega Force,28-Mar-06,61
X360,"Phantagram, Q Entertainment",15-Aug-06,61
PS2,Grandprix Inc.,20-Nov-06,61
X360,Digital Eclipse,12-Jul-06,61
PSP,Supersonic Software,27-Jun-06,61
PC,Freegamer,14-Dec-06,61
XBOX,Edge of Reality,9-May-06,61
PSP,Ubisoft Montreal,7-Dec-06,61
GC,Edge of Reality,9-May-06,61
PC,4Head Studios,12-Oct-06,61
PSP,Rebellion,3-Apr-06,61
PC,Liquid Entertainment,6-Oct-06,61
XBOX,5000ft,30-May-06,61
PC,EA Sports,25-Sep-06,61
WII,Ubisoft Shanghai,28-Nov-06,61
PS2,Papaya Studios,8-Aug-06,61
PC,TERMINAL Studio,2-Mar-06,60
PSP,MumboJumbo,17-Nov-06,60
PC,AWE Games,21-Nov-06,60
GC,Artificial Mind and Movement,18-Jul-06,60
DS,Arc System Works,25-Apr-06,60
DS,oeFun,31-Oct-06,60
DS,Shin'en,30-May-06,60
DS,BeeWorks,24-Oct-06,60
PSP,"Konami, Leviathan Games",28-Nov-06,60
DS,Backbone Entertainment,14-Nov-06,60
GC,AWE Games,10-Oct-06,60
PSP,Idea Factory,28-Feb-06,60
PSP,Hit Maker,18-Jul-06,60
GBA,Aspect,7-Mar-06,60
DS,Black Lantern Studios,16-Nov-06,59
PC,Sonic Team,24-Oct-06,59
PSP,BottleRocket Entertainment,14-Nov-06,59
PC,Traveller's Tales,14-Nov-06,59
PSP,Page 44 Studios,19-Sep-06,59
PSP,Squashy Software,17-Nov-06,59
PS2,EA Canada,28-Feb-06,59
PS2,"Punchline, Shirogumi",12-Sep-06,59
PS2,THQ Australia,10-Oct-06,59
GC,Ubisoft,19-Sep-06,59
DS,NanaOn-Sha,31-Jan-06,59
PSP,"Amaze Entertainment, Vivendi Games",14-Nov-06,59
X360,Ubisoft,19-Sep-06,59
X360,Traveller's Tales,15-Nov-06,59
PS2,Blue Tongue Entertainment,24-Oct-06,59
DS,Two Tribes,17-Oct-06,59
PS2,From Software,13-Jun-06,59
PS2,Artificial Mind and Movement,18-Jul-06,59
GC,Sonic Team,21-Feb-06,59
PS3,Team 17,7-Dec-06,59
PC,"Red Storm Entertainment, Ubisoft Montreal",16-Feb-06,59
DS,Natsume,24-Oct-06,59
XBOX,Ubisoft,19-Sep-06,59
PC,VSTEP,21-Aug-06,59
X360,EA Sports,25-Sep-06,59
PS2,Eutechnyx,26-Sep-06,59
DS,Big Blue Bubble Inc.,26-Sep-06,59
PS2,Genki,18-Apr-06,59
XBOX,Blue Shift,5-Jun-06,59
PS2,Pyro Studios,4-Apr-06,58
PC,Monkey Bar Games,1-Feb-06,58
PS2,Telenet Japan,10-Oct-06,58
DS,Human Soft,14-Nov-06,58
PS2,Edge of Reality,9-May-06,58
PSP,EA Canada,28-Feb-06,58
PS3,Sony Online Entertainment,13-Nov-06,58
PS2,Cavia Inc.,14-Feb-06,58
DS,Natsume,12-Dec-06,58
PS2,Tate Interactive,29-Mar-06,58
PC,Sixteen Tons Entertainment,6-Apr-06,58
PS2,Omega Force,19-Sep-06,58
XBOX,SNK,18-Jan-06,58
PSP,Ubisoft,21-Mar-06,58
PSP,"Radical Entertainment, Farsight Studios",8-Oct-06,58
PC,Ubisoft Bulgaria,11-Dec-06,58
PS2,Tecmo,13-Apr-06,58
DS,Razorback Developments,28-Nov-06,58
PSP,Amaze Entertainment,21-Nov-06,58
X360,Digital Eclipse,15-Nov-06,58
PC,Ubisoft,19-Sep-06,58
PS2,Square Enix,15-Aug-06,57
XBOX,Monkey Bar Games,1-Feb-06,57
DS,Ubisoft Casablanca,14-Dec-06,57
PC,Supersonic Software,27-Jun-06,57
GC,"Pipeworks Software, Inc.",24-Apr-06,57
PC,Mad Doc Software,14-Feb-06,57
PSP,Maxis,14-Dec-06,57
GC,Tate Interactive,29-Mar-06,57
PSP,TOSE,10-Oct-06,57
PSP,Omega Force,24-Oct-06,57
WII,Blitz Games,13-Nov-06,57
PSP,"Atari, Tate Interactive, Atari SA",29-Mar-06,57
PC,FireFly Studios,23-Oct-06,57
PC,Digital Extremes,18-Jul-06,57
GBA,EA Canada,24-Apr-06,57
PS2,Playstos Entertainment,28-Jun-06,57
PC,"Monte Cristo Multimedia, Monte Cristo",14-Jun-06,57
PC,White Birds Productions,3-May-06,57
GC,Smart Bomb Interactive,22-Aug-06,57
DS,Interactive Brains,15-Aug-06,57
PC,Burut Software,31-Mar-06,57
PSP,Paradigm Entertainment,6-Nov-06,57
GBA,Altron,19-Sep-06,57
PS2,Ubisoft,19-Sep-06,57
PC,Akella,12-Sep-06,56
DS,BudCat,26-Oct-06,56
PS2,Blue Shift,5-Jun-06,56
DS,Human Soft,16-Oct-06,56
DS,WayForward,18-Oct-06,56
PSP,Point of View,5-Sep-06,56
PS2,Broadsword Interactive,29-Aug-06,56
GBA,Halfbrick Studios,1-Aug-06,56
GBA,Lucky Jump,10-May-06,56
XBOX,Sonic Team,21-Feb-06,56
PC,"CCR, Inc",21-Feb-06,56
PC,Mad Doc Software,5-Dec-06,56
PS2,Blitz Games,16-Oct-06,56
PSP,Team Fusion,14-Nov-06,56
PSP,TT Games,29-Aug-06,56
PS2,Artificial Mind and Movement,24-May-06,56
WII,AWE Games,13-Nov-06,56
PC,Gusto Games,29-Aug-06,56
DS,Taito Corporation,28-Nov-06,55
PS3,Game Republic,14-Nov-06,55
PS2,Sonic Team,21-Feb-06,55
DS,Firebrand Games,4-Dec-06,55
PSP,Midway Studios - Newcastle,30-Oct-06,55
GBA,Aspect,4-Oct-06,55
PS2,Namco Bandai Games,12-Sep-06,55
GBA,Amaze Entertainment,12-Sep-06,55
PSP,Sabertooth Games,14-Nov-06,55
PC,Appaloosa Interactive,18-Oct-06,55
GBA,WayForward,16-May-06,55
PC,MAUS Software,23-Mar-06,54
PC,"Luxoflux, Inc.",24-Mar-06,54
PS2,Smart Bomb Interactive,22-Aug-06,54
PSP,THQ,16-Oct-06,54
X360,Blitz Games,19-Nov-06,54
X360,Genki,26-Sep-06,54
PSP,Bits Studios,15-Aug-06,54
GBA,Hidden Floor,15-Dec-06,54
PC,Plastic Reality,29-Sep-06,54
PC,Nival Interactive,26-Jun-06,54
PC,Cypron Studios,10-Jun-06,54
XBOX,Ubisoft Quebec,14-Mar-06,54
X360,Blitz Games,19-Nov-06,54
PC,5000ft Inc.,30-May-06,54
DS,Helixe,6-Jun-06,54
DS,Marvelous Entertainment,3-Oct-06,54
PS2,Double Helix Games,15-May-06,54
PS2,Bandai,24-Oct-06,54
PS2,Kando Games,21-Mar-06,53
PS2,Monkey Bar Games,1-Feb-06,53
PC,Revolution of Strategy,27-Mar-06,53
X360,Cauldron Ltd.,14-Nov-06,53
PC,The Collective,19-May-06,53
XBOX,High Voltage Software,16-Oct-06,53
XBOX,Digital Extremes,24-Jul-06,53
X360,Team Ninja,13-Nov-06,53
DS,"Climax Group, Climax Studios",10-Jan-06,53
PS2,TT Games,1-Aug-06,53
XBOX,"Z-Axis, Ltd.",16-May-06,53
PS2,Point of View,29-Aug-06,53
X360,FUN Labs,21-Nov-06,53
X360,Omega Force,19-Sep-06,52
PS2,Appaloosa Interactive,23-May-06,52
PSP,SCEE London Studio,3-Oct-06,52
XBOX,Cavia Inc.,25-Apr-06,52
DS,Amaze Entertainment,24-Oct-06,52
PSP,Griptonite Games,27-Jun-06,52
XBOX,Double Helix Games,19-May-06,52
PS2,Artificial Mind and Movement,24-Jul-06,52
PS2,"Z-Axis, Ltd.",16-May-06,52
PSP,Razorworks,17-Oct-06,52
PC,Beenox,16-May-06,52
X360,"Z-Axis, Ltd.",16-May-06,52
PSP,High Voltage Software,29-Aug-06,52
PS2,Traveller's Tales,14-Nov-06,52
DS,Sensory Sweep,27-Jun-06,52
XBOX,Blade Interactive,26-Apr-06,52
PS2,"Pipeworks Software, Inc.",24-Apr-06,51
GC,Traveller's Tales,14-Nov-06,51
PS2,7 Studios,28-Jun-06,51
PSP,Smart Bomb Interactive,22-Aug-06,51
PSP,High Voltage Software,17-Oct-06,51
WII,Ubisoft,19-Nov-06,51
PS2,Black Ops Entertainment,6-Jun-06,51
DS,Indie Built,29-Mar-06,51
PSP,"Hudson Soft, Neverland",12-Sep-06,51
PS2,Marvelous,28-Mar-06,51
XBOX,Terminal Reality,5-Sep-06,51
GC,Artificial Mind and Movement,24-Jul-06,51
X360,EA Tiburon,20-Nov-06,51
PC,Stormfront Studios,14-Nov-06,51
PSP,Shift,17-Jan-06,51
PS2,4J Studios,4-Oct-06,51
GC,TT Games,1-Aug-06,51
XBOX,EA Tiburon,20-Nov-06,51
PS2,Stormfront Studios,14-Nov-06,51
XBOX,Climax Group,27-Jun-06,51
XBOX,Appaloosa Interactive,23-May-06,51
PS2,Terminal Reality,5-Sep-06,51
DS,Amaze Entertainment,16-May-06,50
PS2,"SCi, Volatile Games",24-Oct-06,50
DS,Konami,21-Mar-06,50
X360,Stainless Games,20-Dec-06,50
PS2,Razorworks Studios,26-Sep-06,50
PC,"Digital Leisure Inc., Digital Leisure",25-Aug-06,50
PS2,High Voltage Software,16-Oct-06,50
XBOX,Volatile Games,24-Oct-06,50
GBA,Helixe,6-Jun-06,50
GC,Hypnos,16-May-06,50
PC,Volatile Games,24-Oct-06,50
GBA,Vicarious Visions,5-May-06,49
XBOX,Stormfront Studios,14-Nov-06,49
X360,Taito Corporation,27-Jun-06,49
GC,h.a.n.d. Inc.,12-Sep-06,49
WII,Ubisoft,30-Nov-06,49
PS2,Artificial Mind and Movement,14-Nov-06,49
PC,7 Studios,28-Jun-06,49
X360,Crave,29-Aug-06,49
DS,Full Fat,31-Oct-06,49
DS,InterActive Vision Games,3-May-06,48
PSP,Sonnori,6-Jun-06,48
PC,Razorworks,25-Sep-06,48
PS2,Cavia Inc.,25-Apr-06,48
PS2,Eutechnyx,13-Apr-06,48
X360,FUN Labs,19-Sep-06,48
PSP,Tantalus,6-Mar-06,48
PS2,Rebellion,21-Nov-06,48
X360,Stormfront Studios,14-Nov-06,48
DS,Altron,2-Oct-06,48
PC,Artificial Mind and Movement,24-Jul-06,47
XBOX,Synetic,15-Aug-06,47
PSP,"Opus, Digital Whip",19-Dec-06,47
PC,InterServ International,26-Sep-06,47
XBOX,Ubisoft,23-Mar-06,47
PS2,h.a.n.d. Inc.,12-Sep-06,47
PSP,"Neverland, Idea Factory",26-Sep-06,47
DS,Black Lantern Studios,6-Dec-06,47
DS,Amaze Entertainment,12-Sep-06,47
X360,Digital Eclipse,13-Sep-06,47
GC,Monkey Bar Games,24-Oct-06,47
XBOX,Black Ops Entertainment,6-Jun-06,46
WII,Left Field Productions,12-Dec-06,46
PC,Cauldron Ltd.,25-Dec-06,46
PC,Sylum Entertainment,14-Feb-06,46
DS,Beluga Computer,21-Aug-06,46
PS2,Blade Interactive,26-Apr-06,46
WII,"Pipeworks Software, Inc.",14-Nov-06,46
WII,Artificial Mind and Movement,13-Nov-06,46
X360,Sega,14-Nov-06,46
PC,Artematica,21-Mar-06,45
WII,Artificial Mind and Movement,5-Dec-06,45
PS2,Yuke's,15-Aug-06,45
PC,Sports Mogul,15-Dec-06,45
PC,iEntertainment Network,16-Nov-06,45
PC,"Buka Entertainment, Targem Games",26-Jun-06,45
PS2,Farsight Studios,27-Nov-06,45
XBOX,Razorworks Studios,25-Sep-06,44
XBOX,Eutechnyx,14-Apr-06,44
PS2,DC Studios,14-Feb-06,44
GBA,SkyRiver Studios,20-Nov-06,44
PC,Mayhem Studios,2-Oct-06,44
PS2,Ubisoft Shanghai,28-Mar-06,44
X360,Strange Flavour,4-Oct-06,44
GC,Mechanic Arms,12-Dec-06,44
GBA,Krome Studios,10-Oct-06,44
X360,Bandai Namco Games,27-Dec-06,43
PS2,Monkey Bar Games,24-Oct-06,43
PS2,Capcom,28-Feb-06,43
PC,Gameyus Interactive,8-Sep-06,43
PC,Pixel after Pixel,14-Jun-06,43
DS,Sensory Sweep,17-Oct-06,43
DS,Exient Entertainment,28-Feb-06,43
PC,Tri Synergy,22-Mar-06,42
PS2,7 Studios,7-Nov-06,42
XBOX,Secret Level,28-Feb-06,42
PS2,WideScreen Games,15-Aug-06,42
PC,NHN Corporation,3-Oct-06,42
PC,Artificial Mind and Movement,14-Nov-06,42
PS2,BottleRocket Entertainment,14-Nov-06,42
XBOX,"Ritual Entertainment, Avalanche Software",17-Jan-06,41
X360,FUN Labs,21-Nov-06,41
WII,MTO,14-Nov-06,41
XBOX,Torus Games,14-Apr-06,41
WII,MagicWand,22-Nov-06,41
PC,Apeiron,17-Oct-06,41
PSP,Genki,28-Feb-06,41
XBOX,BottleRocket Entertainment,15-Nov-06,40
DS,Interchannel,17-Nov-06,40
PS2,Mechanic Arms,19-Sep-06,40
PC,Metropolis Software,29-May-06,40
PS2,49Games,24-Jan-06,39
PC,"Ritual Entertainment, Avalanche Software",17-Jan-06,39
PSP,"Konami, Blade Interactive",14-Nov-06,39
DS,Interchannel,17-Nov-06,39
PS2,"Ritual Entertainment, Avalanche Software",17-Jan-06,39
DS,Nightlight Studios,31-Jan-06,39
PS2,Eutechnyx,4-Dec-06,39
PC,Anarchy Enterprises,11-Sep-06,39
PC,"PM Studios Inc., P.M. Studios s.r.l",28-Feb-06,39
X360,Eutechnyx,6-Dec-06,38
PC,Left Behind Games,7-Nov-06,38
DS,Taito Corporation,3-Oct-06,38
WII,Ubisoft Montreal,12-Dec-06,38
DS,From Software,21-Aug-06,37
PC,49Games,24-Jan-06,37
GBA,Razorback Developments,2-Oct-06,37
DS,Dimps Corporation,10-Oct-06,37
PS2,Jack of All Games,11-Jul-06,37
PS2,Eutechnyx,21-Nov-06,36
XBOX,49Games,24-Jan-06,36
XBOX,Team 17,14-Apr-06,36
DS,"Starfish, Starfish SD",28-Mar-06,35
PC,Blue Fang Games,22-May-06,35
XBOX,Bethesda Softworks,28-Jun-06,35
DS,SkyRiver Studios,27-Nov-06,34
X360,Hudson,29-Aug-06,34
XBOX,Mud Duck Productions,28-Jun-06,34
GBA,Sonic Team,14-Nov-06,33
PS2,FUN Labs,27-Nov-06,33
DS,EA Tiburon,20-Nov-06,33
PS3,Bec,13-Nov-06,33
PS2,Ingram Entertainment,12-Oct-06,33
PSP,Left Field Productions,2-Nov-06,32
PC,Tri Synergy,31-Jul-06,31
PS2,"Atomic Planet Entertainment, Mud Duck Productions",13-Jun-06,30
GBA,DSI Games,2-Oct-06,28
PC,Enlight Software,6-Sep-06,28
DS,Creative Office,25-May-06,28
PC,Direct Action Games,25-Jul-06,26
XBOX,Direct Action Games,21-Jul-06,25
DS,FrontLine Studios,30-Jun-06,25
PC,Legacy Interactive,28-Feb-06,25
PC,Ladyluck Digital Media,6-Jul-06,24
PC,Parallax Art Studio,26-May-06,23
GBA,Full Fat,2-Oct-06,21
WII,Nintendo,12-Nov-07,97
X360,"Irrational Games, 2K Marin",21-Aug-07,96
X360,Valve Software,10-Oct-07,96
PC,Valve Software,10-Oct-07,96
PC,"Irrational Games, 2K Marin",21-Aug-07,96
PS3,Infinity Ward,5-Nov-07,94
X360,Infinity Ward,5-Nov-07,94
X360,"Bungie Software, Bungie",25-Sep-07,94
PS2,SCE Santa Monica,13-Mar-07,93
PS3,4J Studios,20-Mar-07,93
PC,Infinity Ward,5-Nov-07,92
X360,Harmonix Music Systems,3-Apr-07,92
X360,Harmonix Music Systems,20-Nov-07,92
PC,Valve Software,10-Oct-07,92
PS3,Harmonix Music Systems,20-Nov-07,92
GBA,TOSE,5-Feb-07,92
WII,Capcom,19-Jun-07,91
PC,Crytek,13-Nov-07,91
PC,Blizzard Entertainment,16-Jan-07,91
PC,Stardock,14-Feb-07,91
X360,BioWare,20-Nov-07,91
PC,Valve Software,10-Oct-07,90
DS,Nintendo,1-Oct-07,90
PC,Valve Software,10-Oct-07,90
WII,Retro Studios,27-Aug-07,90
X360,Turn 10,29-May-07,90
X360,Digital Eclipse,21-Mar-07,89
PC,Massive Entertainment,18-Sep-07,89
PS3,"Insomniac Games, SCE/WWS",23-Oct-07,89
X360,Sega AM2,30-Oct-07,89
PS3,EA Games,11-Dec-07,89
PS3,"Naughty Dog, SCE/WWS",16-Nov-07,88
PS3,Team Ninja,3-Jul-07,88
PSP,TOSE,9-Oct-07,88
PSP,Level 5,21-Aug-07,87
WII,Capcom,23-Oct-07,87
PSP,Nippon Ichi Software,30-Oct-07,87
PC,Relic,24-Sep-07,87
PC,Epic Games,6-Nov-07,87
X360,Infinite Interactive,10-Oct-07,87
PS2,Atlus Co.,14-Aug-07,86
PS3,Epic Games,11-Dec-07,86
X360,Bethesda Softworks,26-Mar-07,86
PC,Gas Powered Games,20-Feb-07,86
PS2,Konami,6-Feb-07,86
PC,Firaxis Games,23-Jul-07,86
DS,Intelligent Systems,4-Jun-07,86
PC,Sports Interactive,23-Oct-07,86
PC,Turbine Inc.,24-Apr-07,86
X360,"Red Storm Entertainment, Ubisoft Paris",6-Mar-07,86
X360,EA Black Box,14-Sep-07,86
PC,1C: Maddox Games,13-Mar-07,86
WII,Vicarious Visions,28-Oct-07,86
PS3,Ubisoft Montreal,26-Jun-07,86
PS3,EA Canada,11-Sep-07,86
PC,Bethesda Softworks,26-Mar-07,86
X360,Bizarre Creations,2-Oct-07,85
X360,EA Canada,12-Sep-07,85
X360,Neversoft Entertainment,28-Oct-07,85
DS,Game Freak,22-Apr-07,85
PC,EA LA,26-Mar-07,85
PSP,Sony Bend,2-Oct-07,85
PC,Creative Assembly,28-Aug-07,85
PC,PopCap,6-Mar-07,85
PS3,Housemarque,28-Jun-07,85
WII,Intelligent Systems,9-Apr-07,85
X360,EA Tiburon,14-Aug-07,85
DS,Game Freak,22-Apr-07,85
PS3,Sega AM2,20-Feb-07,85
PS3,EA Black Box,24-Sep-07,85
PSP,High Impact Games,13-Feb-07,85
X360,Backbone Entertainment,18-Jul-07,84
PS3,"Red Storm Entertainment, Ubisoft Paris",23-Aug-07,84
PS3,Evolution Studios,6-Mar-07,84
PC,Infinite Interactive,10-Oct-07,84
PC,Codemasters,19-Jun-07,84
PC,Splash Damage,2-Oct-07,84
PS3,Incognito Inc.,28-Aug-07,84
PSP,"Vicious Cycle, Infinite Interactive",20-Mar-07,84
PC,Moonpod,10-Jan-07,83
WII,Konami,3-Oct-07,83
X360,Codemasters,19-Jun-07,83
PC,Epic Games,19-Nov-07,83
PC,Nixxes Software,5-Jun-07,83
PSP,Zoe Mode,29-May-07,83
DS,Treasure,9-Oct-07,83
PS3,Backbone Entertainment,11-Oct-07,83
X360,Realtime Worlds,20-Feb-07,83
DS,Jupiter Corporation,30-Jul-07,83
X360,Namco Bandai Games,6-Jun-07,83
PS2,Level 5,30-Jan-07,83
PS3,Codemasters,11-Sep-07,83
PS2,EA Canada,9-Oct-07,83
WII,Intelligent Systems,15-Jan-07,83
PS2,EA Tiburon,17-Jul-07,83
PC,SimBin,9-Oct-07,83
PC,Sony Online Entertainment,13-Nov-07,83
DS,WayForward,13-Nov-07,83
X360,Backbone Entertainment,29-Aug-07,83
PS3,Neversoft Entertainment,28-Oct-07,83
PC,Paradox Development Studio,23-Jan-07,83
PS2,SCEA,26-Feb-07,83
PS2,Vanilla Ware,22-May-07,83
PS2,Harmonix Music Systems,18-Dec-07,82
PSP,SCEA San Diego Studios,27-Feb-07,82
PC,Telltale Games,29-Mar-07,82
XBOX,EA Sports,17-Jul-07,82
PS2,"Neversoft Entertainment, BudCat",28-Oct-07,82
X360,Starbreeze,25-Jun-07,82
DS,Kojima Productions,6-Feb-07,82
PC,Obsidian Entertainment,9-Oct-07,82
PC,Bit Blot,7-Dec-07,82
PS3,Backbone Entertainment,30-Aug-07,82
PC,GSC Game World,20-Mar-07,82
X360,Gameloft,13-Jun-07,82
PS3,Visual Concepts,19-Nov-07,82
PC,Telltale Games,8-Nov-07,82
X360,EA LA,8-May-07,82
PSP,Full Fat,22-Jan-07,82
PC,Microsoft Game Studios,23-Oct-07,82
X360,"Sega, Backbone Entertainment",12-Sep-07,82
X360,EA Canada,9-Oct-07,82
DS,1st Playable Productions,20-Mar-07,82
PS3,Namco Bandai Games,1-Mar-07,82
X360,Visual Concepts,2-Oct-07,81
PS3,Visual Concepts,2-Oct-07,81
PC,Gas Powered Games,6-Nov-07,81
X360,EA Sports,17-Jul-07,81
PC,CD Projekt Red Studio,30-Oct-07,81
PC,BioWare,26-Feb-07,81
X360,Codemasters,19-Dec-07,81
X360,Ubisoft Montreal,13-Nov-07,81
PS3,2K Sports,13-Mar-07,81
PC,Triumph Studios,26-Jun-07,81
DS,Exient Entertainment,28-Aug-07,81
PS3,EA Canada,6-Mar-07,81
PSP,KCET,6-Feb-07,81
PS3,Ubisoft Montreal,13-Nov-07,81
DS,"Square Enix, Think and Feel",20-Nov-07,81
X360,Visual Concepts,19-Nov-07,81
X360,Big Huge Games,2-May-07,81
PS3,EA Tiburon,14-Aug-07,81
PS3,EA Canada,9-Oct-07,81
DS,"Team 17, Two Tribes",4-Sep-07,81
PSP,"Rockstar Toronto, Rockstar Leeds",12-Feb-07,81
DS,Capcom,23-Oct-07,81
PC,Big Huge Games,23-Oct-07,81
X360,Project Aces,23-Oct-07,80
GBA,Amaze Entertainment,2-Oct-07,80
PS2,Terminal Reality,28-Mar-07,80
PC,Telltale Games,22-Feb-07,80
WII,Traveller's Tales,6-Nov-07,80
GBA,Ubisoft Montreal,20-Mar-07,80
X360,EA Canada,20-Feb-07,80
PC,Iron Lore Entertainment,5-Mar-07,80
PSP,Melbourne House,21-Mar-07,80
X360,Traveller's Tales,6-Nov-07,80
PSP,Konami,23-Oct-07,80
X360,Sumo Digital,20-Mar-07,80
PS3,Sega AM3,20-Mar-07,80
X360,EA Salt Lake,28-Aug-07,80
PS2,Konami,3-Oct-07,80
PS3,Starbreeze,25-Jun-07,80
DS,TT Fusion,6-Nov-07,80
WII,"Bizarre Creations, Kuju Entertainment",20-Nov-07,80
PS3,Traveller's Tales,6-Nov-07,80
PSP,"Team 17, Two Tribes",4-Sep-07,80
X360,Bugbear,2-Oct-07,80
PC,Eden Studios,20-Mar-07,79
X360,Blue Castle Games,25-Jun-07,79
PC,Ubisoft Romania,20-Mar-07,79
X360,Capcom,12-Jan-07,79
X360,Tri-Crescendo,17-Sep-07,79
PC,Soldak Entertainment,6-Sep-07,79
PC,Kerberos Productions,5-Jun-07,79
PS2,Vanilla Ware,26-Jun-07,79
PSP,Sumo Digital,26-Mar-07,79
X360,KCET,6-Feb-07,79
DS,BudCat,29-May-07,79
PC,Telltale Games,26-Apr-07,79
X360,The Behemoth,28-Feb-07,79
PC,Aspyr,13-Nov-07,79
PC,"Frozenbyte, Inc.",14-Nov-07,79
PS3,Ninja Theory,12-Sep-07,79
PS3,EA Salt Lake,28-Aug-07,79
PC,ArenaNet,28-Aug-07,79
X360,Sierra Online,27-Jun-07,79
DS,"Bizarre Creations, Kuju Entertainment",27-Nov-07,79
PSP,EA Canada,8-Oct-07,79
X360,Kush Games,26-Feb-07,79
DS,Vicarious Visions,4-May-07,79
X360,"Mistwalker, Artoon",28-Aug-07,79
DS,Vicarious Visions,15-Oct-07,79
PC,Her Interactive,8-Oct-07,79
WII,Next Level Games,30-Jul-07,79
PSP,Definitive Studios,26-Jun-07,78
PSP,Falcom,12-Feb-07,78
DS,Cing,22-Jan-07,78
DS,Neverland,14-Aug-07,78
X360,Ubisoft Montreal,30-Oct-07,78
DS,Dimps Corporation,18-Sep-07,78
PSP,"Climax Group, Climax Studios",6-Nov-07,78
PSP,Crystal Dynamics,9-Aug-07,78
PS2,Blitz Games,2-Jan-07,78
DS,Inti Creates,23-Oct-07,78
X360,"Climax Group, Climax Studios",27-Aug-07,78
WII,Intelligent Systems,5-Nov-07,78
PSP,Terminal Reality,20-Feb-07,78
PC,Maxis,27-Feb-07,78
PC,Cyan Worlds,15-Jan-07,78
PC,"Climax Group, Climax Studios",6-Nov-07,78
PS2,SCEA,18-Sep-07,78
PC,Electronic Arts,4-Sep-07,78
PC,NCSOFT,30-Oct-07,78
PS2,EA Tiburon,14-Aug-07,78
PS3,Ubisoft Shanghai,30-Mar-07,78
X360,Atomic Elbow,7-Nov-07,78
DS,Skip Ltd.,24-Sep-07,78
X360,Cyclone Zero,17-Oct-07,78
PS2,Infinite Interactive,13-Nov-07,78
PS2,S-Neo,13-Nov-07,78
DS,Nintendo,20-Aug-07,77
X360,SEGA Racing Studio,9-Oct-07,77
X360,Klei Entertainment,25-Apr-07,77
PS3,Blue Castle Games,25-Jun-07,77
X360,Backbone Entertainment,11-Jul-07,77
PC,Petroglyph,10-Dec-07,77
DS,EA Canada,9-Oct-07,77
X360,Crystal Dynamics,23-Oct-07,77
DS,Magellan Interactive,16-Nov-07,77
PS3,EA Sports,17-Jul-07,77
WII,EA Redwood Shores,20-Mar-07,77
PC,EA Canada,9-Oct-07,77
DS,Paon Corporation,10-Sep-07,77
X360,Midway,5-Sep-07,77
X360,PomPom Games,31-Oct-07,77
PS2,Arc System Works,11-Sep-07,77
X360,PopCap,17-Jan-07,77
PC,Midway,18-Sep-07,77
PS3,Midway,29-Oct-07,77
WII,Atlus,20-Nov-07,77
WII,Ignition Entertainment,15-Oct-07,77
PS3,SCEA San Diego Studios,15-May-07,77
PC,EA DICE,8-Mar-07,77
DS,Konami,20-Mar-07,76
PC,Eidos Interactive,30-Jan-07,76
WII,EA Tiburon,14-Aug-07,76
PC,"GRIN, Ubisoft Paris",17-Jul-07,76
PC,Bizarre Creations,7-Mar-07,76
XBOX,EA Tiburon,14-Aug-07,76
PS2,Criterion Games,6-Mar-07,76
PS2,EA Canada,6-Feb-07,76
DS,Capcom,16-Jan-07,76
PSP,Game Republic,31-Jul-07,76
X360,Chair Entertainment,21-Nov-07,76
X360,Sega,29-Aug-07,76
PC,Capcom,15-May-07,76
DS,Firebrand Games,2-Oct-07,76
X360,Triumph Studios,26-Jun-07,76
PSP,Criterion Games,6-Mar-07,76
PS3,Paradigm Entertainment,17-Sep-07,76
PS2,SCEE London Studio,18-Sep-07,76
DS,M2,30-Mar-07,76
PC,Basilisk Games,19-Nov-07,75
DS,TOSE,6-Nov-07,75
WII,Cavia Inc.,13-Nov-07,75
